Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.94*D*D + 0.06*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
03-OCT-2019,501391,96.00,96.55,-0.0057,0.0360,0.0349,0.6668
03-OCT-2019,501421,183.55,183.55,0.0000,0.0212,0.0206,0.3936
03-OCT-2019,501423,671.40,666.90,0.0067,0.0392,0.0380,0.7260
03-OCT-2019,501430,905.05,950.05,-0.0485,0.0716,0.0704,1.3450
03-OCT-2019,501477,27.00,27.00,0.0000,0.0072,0.0070,0.1337
03-OCT-2019,501630,18.30,18.30,0.0000,0.0000,0.0000,0.0000
03-OCT-2019,501700,64.90,65.55,-0.0100,0.0048,0.0053,0.1013
03-OCT-2019,501827,284.00,284.00,0.0000,0.0140,0.0136,0.2598
03-OCT-2019,501831,142.10,145.35,-0.0226,0.0344,0.0338,0.6457
03-OCT-2019,501833,3.85,3.85,0.0000,0.0364,0.0353,0.6744
03-OCT-2019,501945,1.96,1.96,0.0000,0.0031,0.0030,0.0573
03-OCT-2019,502015,9.42,10.51,-0.1095,0.0373,0.0450,0.8597
03-OCT-2019,502175,37.05,37.20,-0.0040,0.0296,0.0287,0.5483
03-OCT-2019,502250,280.00,280.00,0.0000,0.0089,0.0086,0.1643
03-OCT-2019,502271,5.57,5.86,-0.0508,0.0242,0.0266,0.5082
03-OCT-2019,502281,5.90,5.64,0.0451,0.0374,0.0379,0.7241
03-OCT-2019,502294,49.35,49.35,0.0000,0.0000,0.0000,0.0000
03-OCT-2019,502407,55.00,55.55,-0.0100,0.0303,0.0295,0.5636
03-OCT-2019,502445,12.58,12.58,0.0000,0.0381,0.0369,0.7050
03-OCT-2019,502460,31.00,32.60,-0.0503,0.0239,0.0262,0.5006
03-OCT-2019,502587,61.35,61.50,-0.0024,0.0235,0.0228,0.4356
03-OCT-2019,502865,1658.95,1643.95,0.0091,0.0265,0.0258,0.4929
03-OCT-2019,502873,20.00,20.00,0.0000,0.0318,0.0308,0.5884
03-OCT-2019,502893,12.27,12.91,-0.0508,0.0097,0.0156,0.2980
03-OCT-2019,502901,1603.00,1680.00,-0.0469,0.0434,0.0436,0.8330
03-OCT-2019,502933,9.65,9.65,0.0000,0.0062,0.0060,0.1146
03-OCT-2019,502958,1903.00,1903.00,0.0000,0.0403,0.0391,0.7470
03-OCT-2019,503015,74.15,72.70,0.0197,0.0157,0.0160,0.3057
03-OCT-2019,503092,18.05,18.05,0.0000,0.0084,0.0081,0.1548
03-OCT-2019,503127,1600.00,1600.00,0.0000,0.0115,0.0111,0.2121
03-OCT-2019,503162,53.50,60.00,-0.1147,0.0384,0.0466,0.8903
03-OCT-2019,503229,52.60,55.10,-0.0464,0.0276,0.0291,0.5560
03-OCT-2019,503349,1890.00,1900.00,-0.0053,0.0336,0.0326,0.6228
03-OCT-2019,503622,7.00,7.00,0.0000,0.0000,0.0000,0.0000
03-OCT-2019,503624,100.00,95.30,0.0481,0.0203,0.0229,0.4375
03-OCT-2019,503641,62.95,60.35,0.0422,0.0316,0.0323,0.6171
03-OCT-2019,503657,9.14,9.50,-0.0386,0.0388,0.0388,0.7413
03-OCT-2019,503659,21.35,21.35,0.0000,0.0123,0.0119,0.2273
03-OCT-2019,503663,0.38,0.38,0.0000,0.0169,0.0164,0.3133
03-OCT-2019,503671,4.55,4.55,0.0000,0.0000,0.0000,0.0000
03-OCT-2019,503675,3.25,3.10,0.0473,0.0124,0.0167,0.3191
03-OCT-2019,503681,6.80,6.80,0.0000,0.0000,0.0000,0.0000
03-OCT-2019,503689,3.20,3.20,0.0000,0.0000,0.0000,0.0000
03-OCT-2019,503691,17.15,17.15,0.0000,0.0188,0.0182,0.3477
03-OCT-2019,503696,55.00,55.00,0.0000,0.0000,0.0000,0.0000
03-OCT-2019,503772,13.22,13.48,-0.0195,0.0321,0.0315,0.6018
03-OCT-2019,503776,13.29,13.29,0.0000,0.0373,0.0362,0.6916
03-OCT-2019,503804,112.75,114.00,-0.0110,0.0219,0.0214,0.4088
03-OCT-2019,503816,27.00,27.00,0.0000,0.0149,0.0144,0.2751
03-OCT-2019,503831,77.55,77.55,0.0000,0.0198,0.0192,0.3668
03-OCT-2019,503837,4.68,4.90,-0.0459,0.0370,0.0376,0.7183
03-OCT-2019,503863,5.40,5.40,0.0000,0.0039,0.0038,0.0726
03-OCT-2019,504000,49.55,50.95,-0.0279,0.0264,0.0265,0.5063
03-OCT-2019,504028,21.75,22.60,-0.0383,0.0387,0.0387,0.7394
03-OCT-2019,504076,5.86,6.10,-0.0401,0.0218,0.0233,0.4451
03-OCT-2019,504080,87.00,87.00,0.0000,0.0000,0.0000,0.0000
03-OCT-2019,504084,3142.60,3308.00,-0.0513,0.0284,0.0303,0.5789
03-OCT-2019,504092,5.40,5.67,-0.0488,0.0344,0.0354,0.6763
03-OCT-2019,504093,145.05,147.95,-0.0198,0.0274,0.0270,0.5158
03-OCT-2019,504132,93.60,91.95,0.0178,0.0546,0.0531,1.0145
03-OCT-2019,504176,204.50,212.00,-0.0360,0.0426,0.0422,0.8062
03-OCT-2019,504180,1.79,1.79,0.0000,0.0307,0.0298,0.5693
