Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.94*D*D + 0.06*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
01-Oct-19,PIRPHYTO,22.5,23.6,-0.0477,0.0338,0.0348,0.6649
01-Oct-19,PITTIENG,41.75,42.75,-0.0237,0.035,0.0344,0.6572
01-Oct-19,PKLEASING,10,10,0,0,0,0
01-Oct-19,PKTEA,124,125,-0.008,0.024,0.0234,0.4471
01-Oct-19,PLASTIBLEN,183.05,186.9,-0.0208,0.0412,0.0403,0.7699
01-Oct-19,PML,10,10,0,0,0,0
01-Oct-19,PNB,58.7,61.95,-0.0539,0.0277,0.0299,0.5712
01-Oct-19,PNBGILTS,31.5,32.55,-0.0328,0.0178,0.019,0.363
01-Oct-19,PNBHOUSING,588.15,583.7,0.0076,0.0341,0.0331,0.6324
01-Oct-19,PNC,13.35,14.05,-0.0511,0.029,0.0308,0.5884
01-Oct-19,PNCINFRA,186.2,190.95,-0.0252,0.0226,0.0228,0.4356
01-Oct-19,PODDARHOUS,400,385.65,0.0365,0.0381,0.038,0.726
01-Oct-19,PODDARMENT,158.35,162,-0.0228,0.0277,0.0274,0.5235
01-Oct-19,POKARNA,138.5,135.1,0.0249,0.0305,0.0302,0.577
01-Oct-19,POLYCAB,676.65,685.15,-0.0125,0.0242,0.0237,0.4528
01-Oct-19,POLYMED,219.7,227.9,-0.0366,0.0283,0.0289,0.5521
01-Oct-19,POLYPLEX,421.45,430.55,-0.0214,0.023,0.0229,0.4375
01-Oct-19,PONNIERODE,109.7,109.2,0.0046,0.0306,0.0297,0.5674
01-Oct-19,PORSCHE,358,358,0,0,0,0
01-Oct-19,POWERGRID,196.5,199.05,-0.0129,0.0174,0.0172,0.3286
01-Oct-19,POWERMECH,706.25,716.75,-0.0148,0.0386,0.0376,0.7183
01-Oct-19,PPAP,188.75,192.1,-0.0176,0.0348,0.034,0.6496
01-Oct-19,PPL,69.05,69.95,-0.0129,0.0269,0.0263,0.5025
01-Oct-19,PPML,10,10,0,0,0,0
01-Oct-19,PRABHAT,77.45,78.15,-0.009,0.0393,0.0382,0.7298
01-Oct-19,PRABHATSEC,10.8,10.8,0,0,0,0
01-Oct-19,PRADIP,0.75,0.75,0,0.0816,0.0791,1.5112
01-Oct-19,PRAENG,6.25,6.5,-0.0392,0.0405,0.0404,0.7718
01-Oct-19,PRAJIND,108.1,112.1,-0.0363,0.0315,0.0318,0.6075
01-Oct-19,PRAKASH,44.65,47.15,-0.0545,0.0464,0.0469,0.896
01-Oct-19,PRAKASHSTL,0.2,0.2,0,0.1239,0.1201,2.2945
01-Oct-19,PRAXIS,65.15,69.5,-0.0646,0.0497,0.0507,0.9686
01-Oct-19,PRECAM,27.45,30.3,-0.0988,0.0749,0.0765,1.4615
01-Oct-19,PRECOT,28.5,30,-0.0513,0.0386,0.0395,0.7546
01-Oct-19,PRECWIRE,161.05,165.15,-0.0251,0.0335,0.0331,0.6324
01-Oct-19,PREMEXPLN,172.1,175.3,-0.0184,0.0256,0.0252,0.4814
01-Oct-19,PREMIER,2.5,2.5,0,0.0582,0.0564,1.0775
01-Oct-19,PREMIERPOL,20.55,20.4,0.0073,0.0464,0.045,0.8597
01-Oct-19,PRESSMN,21.2,21.6,-0.0187,0.0444,0.0433,0.8272
01-Oct-19,PRESTIGE,284.45,288.8,-0.0152,0.0296,0.0289,0.5521
01-Oct-19,PRHOLDING,10,10,0,0,0,0
01-Oct-19,PRICOLLTD,35.35,36.8,-0.0402,0.0419,0.0418,0.7986
01-Oct-19,PRIMESECU,32.8,35.45,-0.0777,0.0352,0.0391,0.747
01-Oct-19,PRIYAINT,8.5,8.5,0,0,0,0
01-Oct-19,PROGFIN,10,10,0,0,0,0
01-Oct-19,PROSEED,0.35,0.35,0,0.0868,0.0842,1.6086
01-Oct-19,PROVOGE,0.45,0.4,0.1178,0.0709,0.0745,1.4233
01-Oct-19,PROZONINTU,16.75,16.7,0.003,0.0282,0.0274,0.5235
01-Oct-19,PRSMJOHNSN,79.95,82.8,-0.035,0.0312,0.0314,0.5999
01-Oct-19,PSB,18.3,19.25,-0.0506,0.0225,0.0251,0.4795
01-Oct-19,PSL,0.7,0.75,-0.069,0.0496,0.051,0.9744
01-Oct-19,PSPPROJECT,551.35,564.7,-0.0239,0.0215,0.0217,0.4146
01-Oct-19,PSUBNKBEES,243.06,253.87,-0.0435,0.0276,0.0288,0.5502
01-Oct-19,PTC,54.6,56.3,-0.0307,0.0198,0.0206,0.3936
01-Oct-19,PTL,35.15,35.55,-0.0113,0.0201,0.0197,0.3764
01-Oct-19,PUNJABCHEM,531.05,532.2,-0.0022,0.024,0.0233,0.4451
01-Oct-19,PUNJLLOYD,1.05,1.1,-0.0465,0.045,0.0451,0.8616
01-Oct-19,PURBANCHAL,8.65,8.65,0,0,0,0
01-Oct-19,PURVA,62.75,64.35,-0.0252,0.046,0.045,0.8597
01-Oct-19,PVR,1826.55,1843,-0.009,0.0285,0.0277,0.5292
01-Oct-19,QGOLDHALF,1624.35,1640.4,-0.0098,0.0094,0.0094,0.1796
01-Oct-19,QNIFTY,1160.28,1175.25,-0.0128,0.0142,0.0141,0.2694
01-Oct-19,QUALITY,10,10,0,0,0,0
01-Oct-19,QUESS,455.1,469.5,-0.0312,0.0283,0.0285,0.5445
01-Oct-19,QUICKHEAL,127.4,131.15,-0.029,0.0461,0.0453,0.8655
01-Oct-19,QUINTEGRA,0.4,0.4,0,0.1638,0.1588,3.0339
01-Oct-19,RADAAN,1.25,1.25,0,0.0541,0.0525,1.003
01-Oct-19,RADICO,302.75,315,-0.0397,0.0265,0.0275,0.5254
01-Oct-19,RADICOFIN,10,10,0,0,0,0
01-Oct-19,RADIOCITY,36.65,37.75,-0.0296,0.0254,0.0257,0.491
01-Oct-19,RAIN,90.95,95.8,-0.052,0.0428,0.0434,0.8292
01-Oct-19,RAJESHEXPO,673.75,666.9,0.0102,0.0137,0.0135,0.2579
01-Oct-19,RAJPARIS,57.25,57.25,0,0,0,0
01-Oct-19,RAJRAYON,0.05,0.05,0,0.3537,0.3429,6.5511
01-Oct-19,RAJSREESUG,16.75,17.15,-0.0236,0.0268,0.0266,0.5082
01-Oct-19,RAJTV,42.05,41.5,0.0132,0.0355,0.0346,0.661
01-Oct-19,RAJVIR,17.15,17.15,0,0.1808,0.1753,3.3491
01-Oct-19,RAKAN,1,1,0,0,0,0
01-Oct-19,RALLIS,169.75,177.05,-0.0421,0.0213,0.0231,0.4413
01-Oct-19,RAMANEWS,16.4,16.9,-0.03,0.0492,0.0483,0.9228
01-Oct-19,RAMARAJU,182.8,182.8,0,0,0,0
01-Oct-19,RAMASTEEL,56.9,57.65,-0.0131,0.0392,0.0381,0.7279
01-Oct-19,RAMCOCEM,734.8,751.85,-0.0229,0.0215,0.0216,0.4127
01-Oct-19,RAMCOIND,183.2,182.9,0.0016,0.0211,0.0205,0.3917
01-Oct-19,RAMCOSYS,161,162.55,-0.0096,0.0221,0.0216,0.4127
01-Oct-19,RAMKY,52.15,59,-0.1234,0.0422,0.0509,0.9724
01-Oct-19,RAMPURFERT,11.95,11.95,0,0,0,0
01-Oct-19,RANASUG,2.2,2.35,-0.066,0.0324,0.0353,0.6744
01-Oct-19,RANEENGINE,259.8,267.3,-0.0285,0.0347,0.0344,0.6572
01-Oct-19,RANEHOLDIN,916.6,919.75,-0.0034,0.0229,0.0222,0.4241
01-Oct-19,RANJANPOLY,28.25,28.25,0,0,0,0
01-Oct-19,RATNAMANI,947.3,948.2,-0.0009,0.0158,0.0153,0.2923
01-Oct-19,RAYMOND,564.1,558.25,0.0104,0.0219,0.0214,0.4088
01-Oct-19,RBL,508.55,514.1,-0.0109,0.0313,0.0305,0.5827
01-Oct-19,RBLBANK,299.4,328.85,-0.0938,0.0553,0.0583,1.1138
01-Oct-19,RCF,48.5,48.15,0.0072,0.0341,0.0331,0.6324
01-Oct-19,RCOM,0.7,0.75,-0.069,0.0502,0.0515,0.9839
01-Oct-19,RECLTD,123.6,123.15,0.0036,0.0268,0.026,0.4967
01-Oct-19,REDINGTON,113.8,117.45,-0.0316,0.0386,0.0382,0.7298
01-Oct-19,REFEX,63.2,66.65,-0.0532,0.0487,0.049,0.9361
01-Oct-19,REGALENTER,10,10,0,0,0,0
01-Oct-19,REGENCERAM,1.7,1.65,0.0299,0.0593,0.058,1.1081
01-Oct-19,RELAXO,498.8,506.4,-0.0151,0.0177,0.0176,0.3362
01-Oct-19,RELCAPITAL,22.35,24.6,-0.0959,0.0588,0.0617,1.1788
01-Oct-19,RELCNX100,117.92,119.01,-0.0092,0.0165,0.0162,0.3095
01-Oct-19,RELCONS,52.54,53.03,-0.0093,0.0167,0.0164,0.3133
01-Oct-19,RELDIVOPP,29.21,29.5,-0.0099,0.0178,0.0174,0.3324
01-Oct-19,RELIANCE,1304.9,1332.25,-0.0207,0.0216,0.0215,0.4108
01-Oct-19,RELIGARE,38.25,36.5,0.0468,0.0332,0.0342,0.6534
01-Oct-19,RELINFRA,27.7,29.3,-0.0562,0.0551,0.0552,1.0546
01-Oct-19,RELNV20,565.99,565.25,0.0013,0.0087,0.0084,0.1605
01-Oct-19,REMSONSIND,84.5,85,-0.0059,0.0263,0.0255,0.4872
01-Oct-19,RENUKA,6.7,6.6,0.015,0.0327,0.0319,0.6094
01-Oct-19,REPCOHOME,305.15,312.35,-0.0233,0.0196,0.0198,0.3783
01-Oct-19,REPRO,550.7,559.55,-0.0159,0.0215,0.0212,0.405
01-Oct-19,RESPONIND,91.15,90.8,0.0038,0.0207,0.0201,0.384
01-Oct-19,RETFMID150,58.04,59.42,-0.0235,0.0172,0.0176,0.3362
01-Oct-19,REVATHI,364.3,381.35,-0.0457,0.0389,0.0393,0.7508
